open_target,next_target,close_target,role,open_offset,action,reason
PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P159,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P160,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P162,REPORTED_QUOTE_KEEP,96,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P011,PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P012,PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P013,REPORTED_QUOTE_KEEP,36,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_03.BODY.P018,PASSION24.TEXT.RELATED_HOUR_03.BODY.P019,PASSION24.TEXT.RELATED_HOUR_03.BODY.P019,REPORTED_QUOTE_KEEP,17,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_06.BODY.P053,PASSION24.TEXT.RELATED_HOUR_06.BODY.P054,PASSION24.TEXT.RELATED_HOUR_06.BODY.P054,MEANINGFUL_NESTED_QUOTE_KEEP,122,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_06.BODY.P068,PASSION24.TEXT.RELATED_HOUR_06.BODY.P069,PASSION24.TEXT.RELATED_HOUR_06.BODY.P069,MEANINGFUL_NESTED_QUOTE_KEEP,312,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_07.BODY.P036,PASSION24.TEXT.RELATED_HOUR_07.BODY.P037,PASSION24.TEXT.RELATED_HOUR_07.BODY.P037,REPORTED_QUOTE_KEEP,95,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_11.BODY.P058,PASSION24.TEXT.RELATED_HOUR_11.BODY.P059,PASSION24.TEXT.RELATED_HOUR_11.BODY.P060,REPORTED_QUOTE_KEEP,16,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_13.BODY.P039,PASSION24.TEXT.RELATED_HOUR_13.BODY.P040,PASSION24.TEXT.RELATED_HOUR_13.BODY.P040,REPORTED_QUOTE_KEEP,451,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_13.BODY.P047,PASSION24.TEXT.RELATED_HOUR_13.BODY.P048,PASSION24.TEXT.RELATED_HOUR_13.BODY.P117,REPORTED_QUOTE_KEEP,65,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_15.BODY.P174,PASSION24.TEXT.RELATED_HOUR_15.BODY.P175,PASSION24.TEXT.RELATED_HOUR_15.BODY.P178,REPORTED_QUOTE_KEEP,34,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_16.BODY.P009,PASSION24.TEXT.RELATED_HOUR_16.BODY.P010,PASSION24.TEXT.RELATED_HOUR_16.BODY.P010,REPORTED_QUOTE_KEEP,84,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_16.BODY.P076,PASSION24.TEXT.RELATED_HOUR_16.BODY.P077,PASSION24.TEXT.RELATED_HOUR_16.BODY.P077,REPORTED_QUOTE_KEEP,48,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_17.BODY.P010,PASSION24.TEXT.RELATED_HOUR_17.BODY.P011,PASSION24.TEXT.RELATED_HOUR_17.BODY.P011,REPORTED_QUOTE_KEEP,110,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_17.BODY.P053,PASSION24.TEXT.RELATED_HOUR_17.BODY.P054,PASSION24.TEXT.RELATED_HOUR_17.BODY.P054,REPORTED_QUOTE_KEEP,23,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_20.BODY.P015,PASSION24.TEXT.RELATED_HOUR_20.BODY.P016,PASSION24.TEXT.RELATED_HOUR_20.BODY.P016,REPORTED_QUOTE_KEEP,176,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_20.BODY.P029,PASSION24.TEXT.RELATED_HOUR_20.BODY.P030,PASSION24.TEXT.RELATED_HOUR_20.BODY.P030,REPORTED_QUOTE_KEEP,45,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_21.BODY.P064,PASSION24.TEXT.RELATED_HOUR_21.BODY.P065,PASSION24.TEXT.RELATED_HOUR_21.BODY.P065,REPORTED_QUOTE_KEEP,28,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_21.BODY.P067,PASSION24.TEXT.RELATED_HOUR_21.BODY.P068,PASSION24.TEXT.RELATED_HOUR_21.BODY.P073,REPORTED_QUOTE_KEEP,47,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_21.BODY.P080,PASSION24.TEXT.RELATED_HOUR_21.BODY.P081,PASSION24.TEXT.RELATED_HOUR_21.BODY.P081,REPORTED_QUOTE_KEEP,16,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_21.BODY.P091,PASSION24.TEXT.RELATED_HOUR_21.BODY.P092,PASSION24.TEXT.RELATED_HOUR_21.BODY.P092,REPORTED_QUOTE_KEEP,78,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_21.BODY.P098,PASSION24.TEXT.RELATED_HOUR_21.BODY.P099,PASSION24.TEXT.RELATED_HOUR_21.BODY.P101,REPORTED_QUOTE_KEEP,119,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_21.BODY.P110,PASSION24.TEXT.RELATED_HOUR_21.BODY.P111,PASSION24.TEXT.RELATED_HOUR_21.BODY.P112,REPORTED_QUOTE_KEEP,255,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_22.BODY.P095,PASSION24.TEXT.RELATED_HOUR_22.BODY.P096,PASSION24.TEXT.RELATED_HOUR_22.BODY.P096,REPORTED_QUOTE_KEEP,303,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
PASSION24.TEXT.RELATED_HOUR_24.BODY.P049,PASSION24.TEXT.RELATED_HOUR_24.BODY.P050,PASSION24.TEXT.RELATED_HOUR_24.BODY.P052,REPORTED_QUOTE_KEEP,20,QUOTE_EDGE_INTEGRITY_JOIN,Visible opening guillemet is terminal in record; remove only the inter-record boundary before first lexical content.
