file,line,status,text
README.md,1,SUPPORTED,# 24 Heures de la Passion — v101.90 · Extract-heading annotation R1
README.md,2,STRUCTURAL,
README.md,3,SUPPORTED,Version: `v101.90`  
README.md,4,SUPPORTED,Cache: `luisa-24h-v101-90`  
README.md,5,SUPPORTED,Storage schema: `8` · personal snapshot: `5`
README.md,6,STRUCTURAL,
README.md,7,SUPPORTED,## v101.90 — internal Approfondir extract headings
README.md,8,STRUCTURAL,
README.md,9,SUPPORTED,Physical iPhone/iPad screenshots proved that the prominent internal `Tome … — date — …` headings inside Approfondir were still outside the app annotation surface. v101.90 keeps each existing `<h3>` anchor/ID and renders its text through the ordinary annotation engine using `.library-extract-heading-selectable` and `renderParaText()`.
README.md,10,STRUCTURAL,
README.md,11,SUPPORTED,All 94 such headings across 27 indexed readings are covered. The two screenshot targets are `PASSION24.TEXT.RELATED_HOUR_18.BODY.P050` and `PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P064`.
README.md,12,STRUCTURAL,
README.md,13,SUPPORTED,"Top-level reader-title highlighting and `Marquer cette lecture` remain separate. Corpus/speech data, schema 8 and snapshot 5 are unchanged. Physical iPhone/iPad validation of this exact v101.90 build remains mandatory."
REAL_DEVICE_QA_CHECKLIST.md,1,SUPPORTED,# REAL DEVICE QA — v101.90
REAL_DEVICE_QA_CHECKLIST.md,2,STRUCTURAL,
REAL_DEVICE_QA_CHECKLIST.md,3,NOT_TESTED,All scenarios are **NOT_TESTED** until executed on the stated real device/build.
REAL_DEVICE_QA_CHECKLIST.md,4,STRUCTURAL,
REAL_DEVICE_QA_CHECKLIST.md,5,SUPPORTED,"- G-01 — iPad screenshot target: open `PASSION24.TEXT.RELATED_HOUR_18`, select `ÊTRE, À L’INTÉRIEUR` inside `TOME 10 — 12 NOVEMBRE 1910 — …`; app bar `Surligner / Note / Copier / Fermer` must appear."
REAL_DEVICE_QA_CHECKLIST.md,6,SUPPORTED,"- G-02 — iPhone screenshot target: open `PASSION24.TEXT.PART_III_DIVINE_PASSION`, select words around `JÉSUS PAR LA DIVINITÉ N’ÉTAIENT` inside `TOME 12 — 20 MARS 1919 — …`; app bar must appear."
REAL_DEVICE_QA_CHECKLIST.md,7,SUPPORTED,"- G-03 — iPhone: apply yellow partial extract-heading highlight, reload, verify persistence."
REAL_DEVICE_QA_CHECKLIST.md,8,SUPPORTED,"- G-04 — iPhone: recolour the heading highlight blue, remove, then Annuler; exact range/colour must restore."
REAL_DEVICE_QA_CHECKLIST.md,9,SUPPORTED,- G-05 — iPhone: add a Note and use Copier on selected extract-heading words.
REAL_DEVICE_QA_CHECKLIST.md,10,SUPPORTED,- G-06 — iPad: select text spanning a wrapped line within a long extract heading; exact selected words only are highlighted.
REAL_DEVICE_QA_CHECKLIST.md,11,SUPPORTED,- G-07 — iPhone/iPad: live `Index des extraits` buttons still scroll to the same 94 heading anchors.
REAL_DEVICE_QA_CHECKLIST.md,12,SUPPORTED,- G-08 — iPhone: top-level Approfondir reader-title highlighting still works.
REAL_DEVICE_QA_CHECKLIST.md,13,SUPPORTED,- G-09 — iPhone: ordinary Approfondir body highlighting still works.
REAL_DEVICE_QA_CHECKLIST.md,14,SUPPORTED,- G-10 — Samsung/Android: explicit Paragraphe mode can treat an internal extract heading as one whole `library_text` target; native word selection remains disabled.
REAL_DEVICE_QA_CHECKLIST.md,15,SUPPORTED,- G-11 — `Marquer cette lecture` remains independent of extract-heading text highlights.
REAL_DEVICE_QA_CHECKLIST.md,16,SUPPORTED,- G-12 — Mon Espace opens an extract-heading highlight back to the same reading/anchor.
REAL_DEVICE_QA_CHECKLIST.md,17,SUPPORTED,- G-13 — JSON export/import preserves extract-heading highlight/note records.
REAL_DEVICE_QA_CHECKLIST.md,18,SUPPORTED,- G-14 — installed PWA: confirm app displays v101.90 and cache generation is `luisa-24h-v101-90`.
REAL_DEVICE_QA_RESULTS_TEMPLATE.csv,1,SUPPORTED,"scenario_id,build,device,status,evidence,notes"
REAL_DEVICE_QA_RESULTS_TEMPLATE.csv,2,NOT_TESTED,"G-01,v101.90,,NOT_TESTED,,"
REAL_DEVICE_QA_RESULTS_TEMPLATE.csv,3,NOT_TESTED,"G-02,v101.90,,NOT_TESTED,,"
REAL_DEVICE_QA_RESULTS_TEMPLATE.csv,4,NOT_TESTED,"G-03,v101.90,,NOT_TESTED,,"
REAL_DEVICE_QA_RESULTS_TEMPLATE.csv,5,NOT_TESTED,"G-04,v101.90,,NOT_TESTED,,"
REAL_DEVICE_QA_RESULTS_TEMPLATE.csv,6,NOT_TESTED,"G-05,v101.90,,NOT_TESTED,,"
REAL_DEVICE_QA_RESULTS_TEMPLATE.csv,7,NOT_TESTED,"G-06,v101.90,,NOT_TESTED,,"
REAL_DEVICE_QA_RESULTS_TEMPLATE.csv,8,NOT_TESTED,"G-07,v101.90,,NOT_TESTED,,"
REAL_DEVICE_QA_RESULTS_TEMPLATE.csv,9,NOT_TESTED,"G-08,v101.90,,NOT_TESTED,,"
REAL_DEVICE_QA_RESULTS_TEMPLATE.csv,10,NOT_TESTED,"G-09,v101.90,,NOT_TESTED,,"
REAL_DEVICE_QA_RESULTS_TEMPLATE.csv,11,NOT_TESTED,"G-10,v101.90,,NOT_TESTED,,"
REAL_DEVICE_QA_RESULTS_TEMPLATE.csv,12,NOT_TESTED,"G-11,v101.90,,NOT_TESTED,,"
REAL_DEVICE_QA_RESULTS_TEMPLATE.csv,13,NOT_TESTED,"G-12,v101.90,,NOT_TESTED,,"
REAL_DEVICE_QA_RESULTS_TEMPLATE.csv,14,NOT_TESTED,"G-13,v101.90,,NOT_TESTED,,"
REAL_DEVICE_QA_RESULTS_TEMPLATE.csv,15,NOT_TESTED,"G-14,v101.90,,NOT_TESTED,,"
version.json,1,SUPPORTED,{
version.json,2,SUPPORTED,"  ""app_version"": ""v101.90"","
version.json,3,SUPPORTED,"  ""build_date"": ""2026-08-20"","
