target_id,declared_break_offset,runtime_boundary_offset,reason,text_context
PASSION24.HOUR.01.P008,110,110,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"es douces Paroles : « Je Te bénis, ô Fils ! » Cette bénédiction remédiera aux offenses des créatures, et,"
PASSION24.HOUR.01.P014,119,119,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"mue qui Lui dit : « Fils, bénis-moi aussi ! » Ô Jésus, mon doux Amour, bénis-moi aussi avec ta Mère. Béni"
PASSION24.HOUR.02.P014,203,203,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"Soleil, Je ressusciterai le troisième jour. » À ces propos, les apôtres sont tout tristes et ne savent qu"
PASSION24.HOUR.02.P015,147,147,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"cessaire que Je meure pour le bien de tous. » D’une Voix émue, Tu continues à les instruire. Avant de ren"
PASSION24.HOUR.04.P034,113,113,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"uis, ni ne veux, laisser mes enfants seuls. » Le Père s’émeut à ces propos tendres et affectueux. Il desc"
PASSION24.HOUR.04.P065,93,93,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"violente qui Me fait M’évanouir et délirer. » Comme je Te plains, Jésus ! Ton Amour est mis au pilori ! M"
PASSION24.HOUR.05.P028,483,484,SUPERSEDED_BY_EXISTING_DISPLAY_SEGMENT_BOUNDARY_AT_NEXT_LEXICAL_START,"rendras à M’aimer et à souffrir par amour ! » Mon Jésus, Tu m’appelles dans ton Cœur pour me faire voir c"
PASSION24.HOUR.05.REF.P005,142,142,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"ceptez mon Amour et donnez-Moi de l’amour ! » Pour nous conformer en toute chose à Jésus, nous devons ren"
PASSION24.HOUR.06.P012,106,106,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"endant, non pas ma Volonté, mais la Tienne. » C’est la première fois que j’entends ces mots de ta Bouche."
PASSION24.HOUR.07.P007,165,165,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"abandonnez pas en ces Heures si terribles ! » Jésus, Tu vacilles et Tu es sur le point de tomber. Alors J"
PASSION24.HOUR.07.P015,147,147,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,". Ô Père, ne Me laisse pas sans réconfort ! » Puis il me semble entendre que Tu appelles à l’aide ta chèr"
PASSION24.HOUR.07.P030,22,22,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"Venez, âmes, venez ! » Jésus, chacun de tes Gémissements est une blessure à mon cœ"
PASSION24.HOUR.07.P117,228,229,SUPERSEDED_BY_EXISTING_DISPLAY_SEGMENT_BOUNDARY_AT_NEXT_LEXICAL_START,"titre que J’aime toutes les âmes ensemble ! » Ô Jésus agonisant, ta Vie est sur le point de s’éteindre. J"
PASSION24.HOUR.07.P125,128,128,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"rts des créatures que Je ressentais en Moi. » Mon Jésus angoissé, puisque Tu as voulu porter en Toi ma mo"
PASSION24.HOUR.08.P007,111,111,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"udas : « Mon ami, pourquoi es-tu venu ici ? » On dirait que c’est à moi aussi que Tu adresses cette Parol"
PASSION24.HOUR.08.P008,42,42,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"« Mon enfant, pourquoi es-tu venue ici ? » Et je veux Te répondre : « Jésus, je viens pour T’aimer. »"
PASSION24.HOUR.08.P009,42,42,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,Tu me dis : « Pourquoi es-tu venue ici ? » quand je me réveille le matin ou quand je Te prie. Tu me ré
PASSION24.HOUR.08.P009,140,140,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"u me répètes : « Pourquoi es-tu venue ici ? » à travers la sainte Hostie, quand je viens Te recevoir dans"
PASSION24.HOUR.08.P010,49,49,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET," combien, à ton « Pourquoi es-tu venu ici ? » répondent : « Je viens pour T’offenser ! »"
PASSION24.HOUR.08.P014,34,34,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"Alors Tu leur dis : « Me voici ! » Par ces simples paroles, Tu dis tout. Tu Te fais connaître "
PASSION24.HOUR.08.P015,50,50,DIRECT_RUNTIME_VISUAL_SPLIT_AT_DECLARED_OFFSET,"i, ô Amour, c’est par un autre « Me voici ! » que Tu les rappelles à la Vie et que, de ta propre initiati"
