change_no,prior_stable_id,current_status,evidence,action
1,PASSION24.HOUR.07.P087,PRESERVED_CURRENT,"exact signature present: Maman, mets-toi tout près de ces personnes et supplée à tout ce qui leur manque.",NONE
2,PASSION24.HOUR.07.P094,PRESERVED_CURRENT,exact signature present: gloire à Dieu. Touche leurs pieds,NONE
3,PASSION24.HOUR.07.P101,PRESERVED_CURRENT,"exact signature present: Maman, permets que je te donne",NONE
4,PASSION24.HOUR.11.P030,PRESERVED_CURRENT,exact signature present: C’est toi qui le dis. Je suis le Fils de Dieu.,NONE
5,PASSION24.HOUR.13.P025,PRESERVED_CURRENT,exact signature present: mépris que tes ennemis ont dirigés,NONE
6,PASSION24.HOUR.20.P074,PRESERVED_CURRENT,"exact signature present: Jésus, pardon pour les nombreuses âmes",NONE
7,PASSION24.HOUR.22.P036,PRESERVED_CURRENT,exact signature present: pleuré tes Peines a retiré,NONE
8,PASSION24.PRAYER.BEFORE_EACH_HOUR.P006,PRESERVED_CURRENT,"exact signature present: je Te rends grâce, ô Jésus",NONE
9,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P079,PRESERVED_CURRENT,joined-word defect absent; `que J'ai` present,NONE
10,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P063,PRESERVED_CURRENT,plural `n’étaient` present,NONE
11,PASSION24.TEXT.RELATED_HOUR_19.BODY.P052,PRESERVED_CURRENT,`la Mienne` present; OCR `Menne` absent,NONE
12,PASSION24.TEXT.RELATED_HOUR_17.BODY.P182,REPLAY_REQUIRED,defect confirmed in frozen baseline v101.99 current RA19B-derived text,patched current target PASSION24.TEXT.RELATED_HOUR_17.BODY.P183
13,PASSION24.TEXT.RELATED_HOUR_13.BODY.P133,REPLAY_REQUIRED,defect confirmed in frozen baseline v101.99 current RA19B-derived text,patched current target PASSION24.TEXT.RELATED_HOUR_13.BODY.P134
14,PASSION24.TEXT.RELATED_HOUR_13.BODY.P137,REPLAY_REQUIRED,defect confirmed in frozen baseline v101.99 current RA19B-derived text,patched current target PASSION24.TEXT.RELATED_HOUR_13.BODY.P138
15,PASSION24.TEXT.RELATED_HOUR_13.BODY.P055,REPLAY_REQUIRED,defect spans current RA19B technical records; concatenated wording contains `pieds de ton être tout entier`,patched two current targets while preserving flow split
16,PASSION24.TEXT.RELATED_HOUR_13.BODY.P095,REPLAY_REQUIRED,defect confirmed in frozen baseline v101.99 current RA19B-derived text,patched current target PASSION24.TEXT.RELATED_HOUR_13.BODY.P096
17,PASSION24.TEXT.RELATED_HOUR_13.BODY.P038,REPLAY_REQUIRED,defect confirmed in frozen baseline v101.99 current RA19B-derived text,patched current target PASSION24.TEXT.RELATED_HOUR_13.BODY.P039
18,PASSION24.TEXT.RELATED_HOUR_15.BODY.P125,REPLAY_REQUIRED,defect confirmed in frozen baseline v101.99 current RA19B-derived text,patched current target PASSION24.TEXT.RELATED_HOUR_15.BODY.P126
19,PASSION24.TEXT.RELATED_HOUR_15.BODY.P142,REPLAY_REQUIRED,defect confirmed in frozen baseline v101.99 current RA19B-derived text,patched current target PASSION24.TEXT.RELATED_HOUR_15.BODY.P143
20,PASSION24.TEXT.RELATED_HOUR_15.BODY.P143,REPLAY_REQUIRED,defect confirmed in frozen baseline v101.99 current RA19B-derived text,patched current target PASSION24.TEXT.RELATED_HOUR_15.BODY.P144
21,PASSION24.TEXT.RELATED_HOUR_15.BODY.P184,REPLAY_REQUIRED,defect confirmed in frozen baseline v101.99 current RA19B-derived text,patched current target PASSION24.TEXT.RELATED_HOUR_15.BODY.P185
22,PASSION24.TEXT.RELATED_HOUR_19.BODY.P049,PRESERVED_CURRENT,subjunctive `J'aie` present,NONE
23,PASSION24.TEXT.RELATED_HOUR_21.BODY.P173,REPLAY_REQUIRED,defect confirmed in frozen baseline v101.99 current RA19B-derived text,patched current target PASSION24.TEXT.RELATED_HOUR_21.BODY.P174
24,PASSION24.TEXT.RELATED_HOUR_23.BODY.P054,REPLAY_REQUIRED,defect confirmed in frozen baseline v101.99 current RA19B-derived text,patched current target PASSION24.TEXT.RELATED_HOUR_23.BODY.P055
25,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P022,REPLAY_REQUIRED,RA19B structured/library wording superseded old sentence and is clean; exact stale defect remains in retained Benefits display_text,patched legacy display copy only
26,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P026,REPLAY_REQUIRED,defect confirmed in frozen baseline v101.99 current RA19B-derived text,patched current target PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P027
27,PASSION24.TEXT.RELATED_HOUR_13.BODY.P080,PRESERVED_CURRENT,terminal full stop present,NONE
28,PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P039,REPLAY_REQUIRED,defect confirmed in frozen baseline v101.99 current RA19B-derived text,patched current target PASSION24.TEXT.PART_III_DIVINE_PASSION.BODY.P040
29,PASSION24.TEXT.HOW_TO_PRACTICE.BODY.P024,PRESERVED_CURRENT,correct coordination/plural Hour reference present,NONE
30,PASSION24.TEXT.INTRODUCTION_PURPOSE.BODY.P011,PRESERVED_CURRENT,parallel-clause commas present,NONE
